num,svn_id,role_on_project,project_name
152,dh0111,Contributor,Apache Axis
1097,dh0112,Contributor,Apache Axiom
1139,dh0113,Contributor,Apache Axis2
447,dhruba,PMC,Apache Hadoop
486,dhruba,Committer,Apache Hadoop
526,dhruba,Committer,Apache Hive
2316,dhruba,NA,Hadoop
1428,dhruba,PMC,Apache Hadoop
1477,dhruba,Committer,Apache Hadoop
2630,dhruv,NA,REEF
1978,dili,NA,Ambari
2717,dianfu,NA,Sqoop
639,di0639,Committer,Apache OpenJPA
2584,di0640,NA,OpenJPA
1638,di0641,Committer,Apache OpenJPA
58,di0058,PMC,Apache Aries
1037,di0059,PMC,Apache Aries
2061,di0060,NA,Aries
903,anzelld,Committer,Apache Syncope
1793,anzelld,committer,Apache Syncope
303,dion,Committer,Apache Commons Jelly
259,dion,Committer,Apache Commons Configuration
277,dion,Committer,Apache Commons Email
285,dion,Committer,Apache Commons FileUpload
290,dion,Committer,Apache Commons HTTP Client
294,dion,Committer,Apache Commons JEXL
1295,dion,Committer,Apache Commons JEXL
1305,dion,Committer,Apache Commons Jelly
1246,dion,Committer,Apache Commons Betwixt
1257,dion,Java Developer,Apache Commons Configuration
1265,dion,Committer,Apache Commons Configuration
1290,dion,Committer,Apache Commons HTTP Client
1976,dbhowmick,NA,Ambari
2186,djd,NA,Db
2101,djencks,NA,BVal
2187,dlr,NA,Db
1608,dlyubimov,PMC,Apache Mahout
657,dvryaboy,PMC member,Apache Pig
670,dvryaboy,Committer,Apache Pig
2280,dvryaboy,NA,Giraph
2610,dvryaboy,NA,Pig
1662,dvryaboy,PMC member,Apache PIG
948,dmitriusan,PMC,Apache Ambari
1979,dmitriusan,NA,Ambari
949,dsen,PMC,Apache Ambari
1980,dsen,NA,Ambari
505,molkov,Committer,Apache Hadoop
2341,molkov,NA,Hadoop
1499,molkov,Committer,Apache Hadoop
159,do0159,Contributor,Apache Axis
1146,do1146,Contributor,Apache Axis2
413,dogacan,Committer,Apache Gora
1369,dogacan,Committer,Apache Gora
1383,dogacan,PMC,Apache Gora
2468,dj,NA,Jackrabbit
548,dpfister,Committer,Apache Jackrabbit
2469,dpfister,NA,Jackrabbit
1563,dpfister,Committer,Apache Jackrabbit
628,dwoods,PMC,Apache OpenJPA
640,dwoods,Committer,Apache OpenJPA
2585,dwoods,NA,OpenJPA
1149,dwoods,PMC,Apache BVal
1639,dwoods,Committer,Apache OpenJPA
1654,dwoods,PMC,Apache OpenJPA
172,dwoods,PMC,Apache Bean Validation
183,dwoods,Committer,Apache Bean Validation
341,dwoods,PMC,Apache Geronimo
385,dwoods,Committer,Apache Geronimo
1332,dwoods,Committer,Apache Geronimo
2244,dwoods,NA,Geronimo
2443,dongc,NA,Hive
84,cutting,Committer,Apache Avro
445,cutting,PMC,Apache Hadoop
483,cutting,Committer,Apache Hadoop
1063,cutting,spec,Apache Avro
1069,cutting,Committer,Apache Avro
2090,cutting,NA,Avro
2313,cutting,NA,Hadoop
1425,cutting,PMC,Apache Hadoop
1474,cutting,Committer,Apache Hadoop
997,drew,PMC,Apache Accumulo
1002,drew,Committer,Apache Accumulo
1882,drew,NA,Accumulo
2102,dwoods,NA,BVal
1009,edkohlwey,Contributor,Apache Accumulo
1889,edkohlwey,NA,Accumulo
6,edkohlwey,Contributor,Apache Accumulo
705,edelln,Committer,Apache ServiceMix
2670,enolan,NA,ServiceMix
1691,enolan,Committer,Apache ServiceMix
2411,ecapriolo,NA,Hive
1525,ecapriolo,PMC,Apache Hive
890,edwardyoon,Committer,Apache Hama
891,edwardyoon,PMC,Apache Hama
1187,edwardyoon,committer,Apache Bigtop
448,eli,PMC,Apache Hadoop
487,eli,Committer,Apache Hadoop
2318,eli,NA,Hadoop
1172,eli,committer,Apache Bigtop
1429,eli,PMC,Apache Hadoop
1478,eli,Committer,Apache Hadoop
2283,ereisman,NA,Giraph
438,eclark,Committer,Apache Hbase
2381,eclark,NA,HBase
1418,eclark,Committer,Apache HBase
59,em0059,PMC,Apache Aries
1038,em1038,PMC,Apache Aries
2062,em2062,NA,Aries
254,ebourg,Committer,Apache Commons CLI
262,ebourg,Committer,Apache Commons Configuration
1252,ebourg,Committer,Apache Commons CLI
1260,ebourg,Java Developer,Apache Commons Configuration
1268,ebourg,Committer,Apache Commons Configuration
1792,elecharny,PMC member,Apache Syncope
244,evenisse,PMC Member,Apache Continuum
597,evenisse,PMC Member,Apache Maven
2601,enis,NA,Phoenix
414,enis,Committer,Apache Gora
423,enis,Committer,Apache Hbase
449,enis,PMC,Apache Hadoop
488,enis,Committer,Apache Hadoop
1370,enis,Committer,Apache Gora
1384,enis,PMC,Apache Gora
2289,enis,NA,Gora
2319,enis,NA,Hadoop
2382,enis,NA,HBase
1400,enis,Committer,Apache HBase
1430,enis,PMC,Apache Hadoop
1479,enis,Committer,Apache Hadoop
706,eglynn,Committer,Apache ServiceMix
2671,eglynn,NA,ServiceMix
1692,eglynn,Committer,Apache ServiceMix
91,chinthaka,Committer,Apache Axiom
116,chinthaka,Committer,Apache Axis
773,chinthaka,Committer,Apache Synapse
1077,chinthaka,Committer,Apache Axiom
1103,chinthaka,Committer,Apache Axis2
1768,chinthaka,Committer,Apache Synapse
2731,chinthaka,NA,Synapse
1024,skygo,Committer,Apache Archiva
2433,ehans,NA,Hive
1535,ehans,Committer,Apache Hive
260,epugh,Committer,Apache Commons Configuration
280,epugh,Committer,Apache Commons Email
1258,epugh,Java Developer,Apache Commons Configuration
1266,epugh,Committer,Apache Commons Configuration
1283,epugh,Committer,Apache Commons Email
489,eyang,Committer,Apache Hadoop
848,eyang,Committer,Apache Ambari
849,eyang,PMC,Apache Ambari
950,eyang,PMC,Apache Ambari
1981,eyang,NA,Ambari
2173,eyang,NA,Chukwa
2320,eyang,NA,Hadoop
1480,eyang,Committer,Apache Hadoop
2644,er2644,NA,Sentry
2245,er2245,NA,Geronimo
1333,er2246,Committer,Apache Geronimo
989,ehatcher,PMC,Apache ANT
1982,eboyd,NA,Ambari
609,jtolentino,Emeritus,Apache Maven
1951,eroma,NA,Airavata
549,eaf,Committer,Apache Jackrabbit
2470,eaf,NA,Jackrabbit
1564,eaf,Committer,Apache Jackrabbit
2388,esteban,NA,HBase
2434,ekoifman,NA,Hive
2281,ekoontz,NA,Giraph
2457,ev2457,NA,Ignite
895,fmartelli,PMC,Apache Syncope
896,fmartelli,Committer,Apache Syncope
2750,fmartelli,NA,Syncope
1787,fmartelli,PMC member,Apache Syncope
156,fa0156,Contributor,Apache Axis
1143,fa1143,Contributor,Apache Axis2
641,fa0641,Committer,Apache OpenJPA
2587,fa0642,NA,OpenJPA
1640,fa0643,Committer,Apache OpenJPA
2063,fmeschbe,NA,Aries
551,fmeschbe,Committer,Apache Jackrabbit
2472,fmeschbe,NA,Jackrabbit
758,fmeschbe,Committer,Apache Sling
765,fmeschbe,PMC,Apache Sling
1566,fmeschbe,Committer,Apache Jackrabbit
1748,fmeschbe ,Java Developer,Apache Sling
1759,fmeschbe ,PMC,Apache Sling
2442,xuf,NA,Hive
415,ferdy,Committer,Apache Gora
1371,ferdy,Committer,Apache Gora
1385,ferdy,PMC,Apache Gora
2159,fe2159,NA,Camel
1585,fbalicchia,NA,Apache Karaf
2097,fpj,NA,Bookkeeper
2586,fr2586,NA,OpenJPA
240,ilgrosso,PMC,Apache Cocoon
241,ilgrosso,Committer,Apache Cocoon
894,ilgrosso,PMC Chair,Apache Syncope
897,ilgrosso,Committer,Apache Syncope
2749,ilgrosso,NA,Syncope
1786,ilgrosso,PMC chair,Apache Syncope
2473,frm,NA,Jackrabbit
880,toffer,Committer,Apache HCatalog
881,toffer,PPMC,Apache HCatalog
1549,toffer,Committer,Apache Hive
686,fr0686,Emeritus Committer,Apache River
808,frankscholten,Committer,Apache Whirr
1846,frankscholten,committer,Apache Whirr
2136,forsthofer,NA,Camel
683,fr0683,Emeritus Committer,Apache River
707,ffang,Committer,Apache ServiceMix
729,ffang,PMC,Apache ServiceMix
1218,ffang,Committer,Apache Camel
2137,ffang,NA,Camel
2497,ffang,NA,Karaf
2672,ffang,NA,ServiceMix
203,ffang,Committer,Apache Camel
572,ffang,Committer,Apache Karaf
585,ffang,PMC,Apache Karaf
1590,ffang,NA,Apache Karaf
1693,ffang,Committer,Apache ServiceMix
1716,ffang,PMC,Apache ServiceMix
266,ga0266,Contributor,Apache Commons Configuration
1272,ga1272,Contributor,Apache Commons Configuration
2545,gcrawford,NA,MyFaces
2435,gangtimliu,NA,Hive
1536,gangtimliu,Committer,Apache Hive
327,ggregory,Committer,Apache Commons Pool
424,garyh,Committer,Apache Hbase
2383,garyh,NA,HBase
18,gtully,Committer,ActiveMQ
923,gtully,Committer,Apache ActiveMQ
1219,gtully,Committer,Apache Camel
1914,gtully,NA,ActiveMQ
2138,gtully,NA,Camel
204,gtully,Committer,Apache Camel
151,ga0151,Contributor,Apache Axis
1138,ga1138,Contributor,Apache Axis2
342,ge0342,PMC,Apache Geronimo
386,ge0386,Committer,Apache Geronimo
629,ge0629,PMC,Apache OpenJPA
642,ge0642,Committer,Apache OpenJPA
1641,ge1641,Committer,Apache OpenJPA
1655,ge1655,PMC,Apache OpenJPA
2246,ge2246,NA,Geronimo
2588,ge2588,NA,OpenJPA
162,geirm,PMC Member,Apache Velocity
167,geirm,Committer,Apache Velocity
295,geirm,Committer,Apache Commons JEXL
975,geirm,PMC Member,Apache Velocity Anakia
980,geirm,Java developer,Apache Velocity Anakia
985,geirm,Committer,Apache Velocity Anakia
1296,geirm,Committer,Apache Commons JEXL
1303,geirm,Committer,Apache Commons Jelly
1334,geirm,Committer,Apache Geronimo
1833,geirm,PMC Member,Apache Velocity
1838,geirm,Java developer,Apache Velocity
301,geirm,Committer,Apache Commons Jelly
2321,gera,NA,Hadoop
1150,gpetracek,PMC,Apache BVal
173,gpetracek,PMC,Apache Bean Validation
184,gpetracek,Committer,Apache Bean Validation
708,gertv,Committer,Apache ServiceMix
730,gertv,PMC,Apache ServiceMix
1220,gertv,Committer,Apache Camel
2139,gertv,NA,Camel
2506,gertv,NA,Karaf
2673,gertv,NA,ServiceMix
205,gertv,Committer,Apache Camel
581,gertv,Committer,Apache Karaf
592,gertv,PMC,Apache Karaf
1600,gertv,NA,Apache Karaf
1694,gertv,Committer,Apache ServiceMix
1717,gertv,PMC,Apache ServiceMix
2761,giacomolm,NA,Syncope
745,gi0745,Contributor,Apache ServiceMix
2696,gi0746,NA,ServiceMix
1732,gi0747,Contributor,Apache ServiceMix
343,gi0343,PMC,Apache Geronimo
387,gi0344,Committer,Apache Geronimo
2028,gkesavan,NA,Ambari
450,gkesavan,PMC,Apache Hadoop
490,gkesavan,Committer,Apache Hadoop
659,gkesavan,PMC member,Apache Pig
672,gkesavan,Committer,Apache Pig
2322,gkesavan,NA,Hadoop
2612,gkesavan,NA,Pig
2785,gkesavan,NA,Zookeeper
1431,gkesavan,PMC,Apache Hadoop
1481,gkesavan,Committer,Apache Hadoop
1664,gkesavan,PMC member,Apache PIG
2561,totaro,NA,Nutch
92,gdaniels,Committer,Apache Axiom
117,gdaniels,Committer,Apache Axis
775,gdaniels,Committer,Apache Synapse
1078,gdaniels,Committer,Apache Axiom
1104,gdaniels,Committer,Apache Axis2
1770,gdaniels,Committer,Apache Synapse
2733,gdaniels,NA,Synapse
37,gl0037,Contributor,ActiveMQ
1195,gl0038,Contributor,Apache Camel
1934,gl0039,NA,ActiveMQ
2160,gl0040,NA,Camel
224,gl0041,Contributor,Apache Camel
1612,gcapan,Committer,Apache Mahout
2412,gopalv,NA,Hive
2103,Gerhard Petracek,NA,BVal
746,gr0746,Contributor,Apache ServiceMix
2697,gr0747,NA,ServiceMix
1733,gr0748,Contributor,Apache ServiceMix
2174,grace.huang,NA,Chukwa
60,gr0060,PMC,Apache Aries
1039,gr0061,PMC,Apache Aries
2064,gr0062,NA,Aries
1847,graham.gear,committer,Apache Whirr
842,gturrell,Committer,Apache Woden
1871,gturrell,Committer,Apache Woden
1603,gsingers,PMC Chair,Apache Mahout
2645,gr2645,NA,Sentry
754,gr0754,Contributor,Apache ServiceMix
2704,gr0755,NA,ServiceMix
1740,gr0756,Contributor,Apache ServiceMix
681,gr0681,Committer,Apache River
2638,gr0682,NA,River
1673,gr0683,Committer,Apache River
372,gregw,Committer,Apache Geronimo
2247,gregw,NA,Geronimo
19,gregw,Committer,ActiveMQ
709,gregw,Committer,Apache ServiceMix
924,gregw,Committer,Apache ActiveMQ
1915,gregw,NA,ActiveMQ
2674,gregw,NA,ServiceMix
1335,gregw,Committer,Apache Geronimo
1695,gregw,Committer,Apache ServiceMix
425,gchanan,Committer,Apache Hbase
2384,gchanan,NA,HBase
1401,gchanan,Committer,Apache HBase
2759,gwimmel,NA,Syncope
1803,gu1803,Contributor,Apache Syncope
20,gnodet,Committer,ActiveMQ
617,gnodet,PMC,Apache ODE
621,gnodet,Committer,Apache ODE
710,gnodet,Committer,Apache ServiceMix
731,gnodet,PMC,Apache ServiceMix
925,gnodet,Committer,Apache ActiveMQ
1221,gnodet,Committer,Apache Camel
1916,gnodet,NA,ActiveMQ
2140,gnodet,NA,Camel
2502,gnodet,NA,Karaf
2675,gnodet,NA,ServiceMix
61,gu0061,PMC,Apache Aries
1040,gu1040,PMC,Apache Aries
2065,gu2065,NA,Aries
2248,gu2248,NA,Geronimo
206,gnodet,Committer,Apache Camel
577,gnodet,Committer,Apache Karaf
590,gnodet,PMC,Apache Karaf
1596,gnodet,NA,Apache Karaf
1624,gnodet,PMC,Apache ODE
1628,gnodet,Developer,Apache ODE
1696,gnodet,Committer,Apache ServiceMix
1718,gnodet,PMC,Apache ServiceMix
1336,gu1336,Committer,Apache Geronimo
2413,gunther,NA,Hive
1537,gunther,Committer,Apache Hive
2718,gwenshap,NA,Sqoop
21,hadrian,Committer,ActiveMQ
926,hadrian,Committer,Apache ActiveMQ
1222,hadrian,Committer,Apache Camel
1917,hadrian,NA,ActiveMQ
2141,hadrian,NA,Camel
207,hadrian,Committer,Apache Camel
373,ha0373,Committer,Apache Geronimo
1337,ha1337,Committer,Apache Geronimo
2249,ha2249,NA,Geronimo
451,hairong,PMC,Apache Hadoop
492,hairong,Committer,Apache Hadoop
2325,hairong,NA,Hadoop
1432,hairong,PMC,Apache Hadoop
1483,hairong,Committer,Apache Hadoop
38,ha0038,Contributor,ActiveMQ
1196,ha0039,Contributor,Apache Camel
1935,ha0040,NA,ActiveMQ
2161,ha0041,NA,Camel
225,ha0042,Contributor,Apache Camel
2646,ha2646,NA,Sentry
2444,harisankar,NA,Hive
2224,hshreedharan,NA,Flume
2719,hshreedharan,NA,Sqoop
2421,rhbutani,NA,Hive
1543,rhbutani,Committer,Apache Hive
493,harsh,Committer,Apache Hadoop
2326,harsh,NA,Hadoop
2575,harsh,NA,Oozie
1484,harsh,Committer,Apache Hadoop
2549,hazems,NA,MyFaces
531,he yongqiang,Committer,Apache Hive
2507,hkesler,NA,Karaf
582,hkesler,Committer,Apache Karaf
1601,hkesler,NA,Apache Karaf
643,he0643,Committer,Apache OpenJPA
2589,he2589,NA,OpenJPA
1642,he1642,Committer,Apache OpenJPA
1161,he1161,Committer,Apache Batik
644,he0644,Committer,Apache OpenJPA
1643,he1643,Committer,Apache OpenJPA
2590,he2590,NA,OpenJPA
164,henning,PMC Member,Apache Velocity
169,henning,Committer,Apache Velocity
814,henning,Emeritus PMC Member,Apache Turbine
977,henning,PMC Member,Apache Velocity Anakia
982,henning,Java developer,Apache Velocity Anakia
987,henning,Committer,Apache Velocity Anakia
1830,henning,PMC Emeritus,Apache Turbine
1835,henning,PMC Member,Apache Velocity
1840,henning,Java developer,Apache Velocity
2225,henry,NA,Flume
2783,henry,NA,Zookeeper
1223,hekonsek,Committer,Apache Camel
2142,hekonsek,NA,Camel
344,he0344,PMC,Apache Geronimo
388,he0388,Committer,Apache Geronimo
598,hboutemy,PMC Member,Apache Maven
790,heshan,Committer,Apache Synapse
1785,heshan,Committer,Apache Synapse
2748,heshan,NA,Synapse
2188,Humberto Hernandez,NA,Db
22,chirino,Committer,ActiveMQ
711,chirino,Committer,Apache ServiceMix
732,chirino,PMC,Apache ServiceMix
927,chirino,Committer,Apache ActiveMQ
1224,chirino,Committer,Apache Camel
1918,chirino,NA,ActiveMQ
2143,chirino,NA,Camel
2495,chirino,NA,Karaf
2676,chirino,NA,ServiceMix
62,hi0062,PMC,Apache Aries
1041,hi1041,PMC,Apache Aries
2066,hi2066,NA,Aries
2250,hi2250,NA,Geronimo
208,chirino,Committer,Apache Camel
570,chirino,Committer,Apache Karaf
1587,chirino,NA,Apache Karaf
1697,chirino,Committer,Apache ServiceMix
1719,chirino,PMC,Apache ServiceMix
1338,hi1338,Committer,Apache Geronimo
788,hiranya,Committer,Apache Synapse
1783,hiranya,Committer,Apache Synapse
2746,hiranya,NA,Synapse
491,hitesh,Committer,Apache Hadoop
850,hitesh,Committer,Apache Ambari
851,hitesh,PMC,Apache Ambari
951,hitesh,PMC,Apache Ambari
1983,hitesh,NA,Ambari
2324,hitesh,NA,Hadoop
1433,hitesh,PMC,Apache Hadoop
1482,hitesh,Committer,Apache Hadoop
63,ho0063,PMC,Apache Aries
1042,ho1042,PMC,Apache Aries
2067,ho2067,NA,Aries
374,ho0374,Committer,Apache Geronimo
1339,ho1339,Committer,Apache Geronimo
2251,ho2251,NA,Geronimo
2789,hdeng,NA,Zookeeper
748,ho0748,Contributor,Apache ServiceMix
2699,ho2699,NA,ServiceMix
1735,ho1735,Contributor,Apache ServiceMix
830,hhernandez,Committer,Apache Torque
1810,hhernandez,Java Developer,Apache Torque
1890,hu1890,NA,Accumulo
1752,ieb ,Java Developer,Apache Sling
1762,ieb ,PMC,Apache Sling
2533,ia2533,NA,Mesos
64,ia0064,PMC,Apache Aries
1043,ia1043,PMC,Apache Aries
2068,ia2068,NA,Aries
2710,im2710,NA,Spark
779,indika,Committer,Apache Synapse
1774,indika,Committer,Apache Synapse
2737,indika,NA,Synapse
416,iocanel,Committer,Apache Gora
712,iocanel,Committer,Apache ServiceMix
807,iocanel,Committer,Apache Whirr
1225,iocanel,Committer,Apache Camel
1372,iocanel,Committer,Apache Gora
1386,iocanel,PMC,Apache Gora
1848,iocanel,committer,Apache Whirr
2144,iocanel,NA,Camel
2290,iocanel,NA,Gora
2494,iocanel,NA,Karaf
2677,iocanel,NA,ServiceMix
209,iocanel,Committer,Apache Camel
569,iocanel,Committer,Apache Karaf
583,iocanel,PMC,Apache Karaf
1586,iocanel,NA,Apache Karaf
1698,iocanel,Committer,Apache ServiceMix
1604,isabel,PMC,Apache Mahout
2034,iv2034,NA,Ambari
2327,ivanmi,NA,Hadoop
1485,ivanmi,Committer,Apache Hadoop
816,hoffmann,Committer,Apache Turbine
822,hoffmann,PMC Member,Apache Turbine
2772,hoffmann,NA,Turbine
1818,hoffmann,PMC Member,Apache Turbine
1824,hoffmann,Java Developer,Apache Turbine
1828,hoffmann,Committer,Apache Turbine
345,ja0345,PMC,Apache Geronimo
389,ja0389,Committer,Apache Geronimo
1891,ja1891,NA,Accumulo
952,jagane,PMC,Apache Ambari
1984,jagane,NA,Ambari
953,jaimin,PMC,Apache Ambari
1985,jaimin,NA,Ambari
2279,jake.mannix,NA,Giraph
452,jghoman,PMC,Apache Hadoop
495,jghoman,Committer,Apache Hadoop
2277,jghoman,NA,Giraph
2328,jghoman,NA,Hadoop
2767,jghoman,NA,Tajo
1435,jghoman,PMC,Apache Hadoop
1487,jghoman,Committer,Apache Hadoop
93,jaliya,Committer,Apache Axiom
119,jaliya,Committer,Apache Axis
691,jaliya,Committer,Apache Sandesha
1079,jaliya,Committer,Apache Axiom
1106,jaliya,Committer,Apache Axis2
1676,jaliya,Committer,Apache Sandesha
308,jcarman,Committer,Apache Commons Lang
328,jcarman,Committer,Apache Commons Proxy
334,jcarman,Committer,Apache Commons VFS
1310,jcarman,Committer,Apache Commons Lang
1315,jcarman,Committer,Apache Commons Proxy
1319,jcarman,Committer,Apache Commons VFS
995,ja0995,Emeritus PMC,Apache ANT
336,jmitchell,Committer,Apache Commons Validator
1321,jmitchell,Committer,Apache Commons Validator
1180,jamespage,committer,Apache Bigtop
65,ja0065,PMC,Apache Aries
1044,ja1044,PMC,Apache Aries
2069,ja2069,NA,Aries
2252,ja2252,NA,Geronimo
23,jstrachan,Committer,ActiveMQ
250,jstrachan,Committer,Apache Commons CLI
271,jstrachan,Committer,Apache Commons Discovery
298,jstrachan,Committer,Apache Commons JEXL
331,jstrachan,Committer,Apache Commons VFS
714,jstrachan,Committer,Apache ServiceMix
733,jstrachan,PMC,Apache ServiceMix
928,jstrachan,Committer,Apache ActiveMQ
1230,jstrachan,Committer,Apache Camel
1248,jstrachan,Committer,Apache Commons CLI
1277,jstrachan,NA,Apache Commons Discovery
1299,jstrachan,Committer,Apache Commons JEXL
1302,jstrachan,Committer,Apache Commons Jelly
1316,jstrachan,Committer,Apache Commons VFS
1919,jstrachan,NA,ActiveMQ
2149,jstrachan,NA,Camel
2504,jstrachan,NA,Karaf
2679,jstrachan,NA,ServiceMix
1340,ja1340,Committer,Apache Geronimo
214,jstrachan,Committer,Apache Camel
579,jstrachan,Committer,Apache Karaf
1242,jstrachan,Committer,Apache Commons Betwixt
1598,jstrachan,NA,Apache Karaf
1700,jstrachan,Committer,Apache ServiceMix
1720,jstrachan,PMC,Apache ServiceMix
715,jgoodyear,Committer,Apache ServiceMix
2499,jgoodyear,NA,Karaf
2680,jgoodyear,NA,ServiceMix
574,jgoodyear,Committer,Apache Karaf
587,jgoodyear,PMC,Apache Karaf
1592,jgoodyear,NA,Apache Karaf
1701,jgoodyear,Committer,Apache ServiceMix
265,ja0265,Contributor,Apache Commons Configuration
1271,ja1271,Contributor,Apache Commons Configuration
346,ja0346,PMC,Apache Geronimo
390,ja0390,Committer,Apache Geronimo
2253,ja2253,NA,Geronimo
713,janb,Committer,Apache ServiceMix
2678,janb,NA,ServiceMix
1341,ja1341,Committer,Apache Geronimo
1699,janb,Committer,Apache ServiceMix
908,jbernhardt,Committer,Apache Syncope
909,jbernhardt,PMC,Apache Syncope
2756,jbernhardt,NA,Syncope
1796,jbernhardt,PMC member,Apache Syncope
276,luehe,Committer,Apache Commons EL
1280,luehe,Committer,Apache Commons El
1992,matyix,NA,Ambari
66,ja0066,PMC,Apache Aries
347,ja0347,PMC,Apache Geronimo
391,ja0391,Committer,Apache Geronimo
1045,ja1045,PMC,Apache Aries
2070,ja2070,NA,Aries
2254,ja2254,NA,Geronimo
2498,jgawor,NA,Karaf
1342,ja1342,PMC Chair,Apache Geronimo
573,jgawor,Committer,Apache Karaf
586,jgawor,PMC,Apache Karaf
1591,jgawor,NA,Apache Karaf
2647,ja2647,NA,Sentry
2226,jarcec,NA,Flume
2720,jarcec,NA,Sqoop
2705,ja2705,NA,Spark
2423,jdere,NA,Hive
348,ja0348,PMC,Apache Geronimo
392,ja0392,Committer,Apache Geronimo
497,jlowe,Committer,Apache Hadoop
1437,jlowe,PMC,Apache Hadoop
1491,jlowe,Committer,Apache Hadoop
257,jvanzyl,Committer,Apache Commons Configuration
283,jvanzyl,Committer,Apache Commons Email
288,jvanzyl,Committer,Apache Commons FileUpload
1243,jvanzyl,Committer,Apache Commons Betwixt
1255,jvanzyl,Java Developer,Apache Commons Configuration
1263,jvanzyl,Committer,Apache Commons Configuration
1286,jvanzyl,Committer,Apache Commons Email
1343,ja1343,Committer,Apache Geronimo
2255,ja2255,NA,Geronimo
349,ja0349,PMC,Apache Geronimo
393,ja0393,Committer,Apache Geronimo
108,jaya,Committer,Apache Axiom
143,jaya,Committer,Apache Axis
1094,jaya,Committer,Apache Axiom
1130,jaya,Committer,Apache Axis2
2577,jaydeep,NA,Oozie
1987,jluniya,NA,Ambari
2071,je2071,NA,Aries
716,jbonofre,Committer,Apache ServiceMix
734,jbonofre,PMC,Apache ServiceMix
906,jbonofre,Committer,Apache Syncope
907,jbonofre,PMC,Apache Syncope
1023,jbonofre,Committer,Apache Archiva
1226,jbonofre,Committer,Apache Camel
1920,jbonofre,NA,ActiveMQ
2145,jbonofre,NA,Camel
2211,jbonofre,NA,Falcon
2503,jbonofre,NA,Karaf
2681,jbonofre,NA,ServiceMix
2755,jbonofre,NA,Syncope
210,jbonofre,Committer,Apache Camel
578,jbonofre,Committer,Apache Karaf
591,jbonofre,PMC,Apache Karaf
1597,jbonofre,NA,Apache Karaf
1702,jbonofre,Committer,Apache ServiceMix
1721,jbonofre,PMC,Apache ServiceMix
1795,jbonofre,PMC member,Apache Syncope
1749,jckautzmann,Java Developer,Apache Sling
426,jdcryans,Committer,Apache Hbase
2385,jdcryans,NA,HBase
1402,jdcryans,Committer,Apache HBase
67,je0067,PMC,Apache Aries
1046,je1046,PMC,Apache Aries
2072,je2072,NA,Aries
2546,jwaldman,NA,MyFaces
115,u115,Committer,Apache Axis
1102,u1102,Committer,Apache Axis2
289,jsdever,Committer,Apache Commons HTTP Client
1289,jsdever,Committer,Apache Commons HTTP Client
1606,jeastman,PMC Emeritus,Apache Mahout
1011,jfield,Contributor,Apache Accumulo
1892,jfield,NA,Accumulo
2256,je2256,NA,Geronimo
717,jgenender,Committer,Apache ServiceMix
735,jgenender,PMC,Apache ServiceMix
1227,jgenender,Committer,Apache Camel
1921,jgenender,NA,ActiveMQ
2146,jgenender,NA,Camel
2682,jgenender,NA,ServiceMix
1344,je1344,Committer,Apache Geronimo
211,jgenender,Committer,Apache Camel
1703,jgenender,Committer,Apache ServiceMix
1722,jgenender,PMC,Apache ServiceMix
88,hammer,Committer,Apache Avro
1064,hammer,python,Apache Avro
1070,hammer,Committer,Apache Avro
2091,hammer,NA,Avro
39,je0039,Contributor,ActiveMQ
1197,je1197,Contributor,Apache Camel
1936,je1936,NA,ActiveMQ
2162,je2162,NA,Camel
226,je0226,Contributor,Apache Camel
2030,je2030,NA,Ambari
2006,sposetti,NA,Ambari
620,jeffyu,PMC,Apache ODE
624,jeffyu,Committer,Apache ODE
1627,jeffyu,PMC,Apache ODE
1631,jeffyu,Developer,Apache ODE
321,brekke,Committer,Apache Commons Net
1311,brekke,Committer,Apache Commons Net
2523,je2523,NA,Knox
2386,jeffreyz,NA,HBase
1403,jeffreyz,Committer,Apache HBase
630,jrbauer,PMC,Apache OpenJPA
645,jrbauer,Committer,Apache OpenJPA
1644,jrbauer,Committer,Apache OpenJPA
1656,jrbauer,PMC,Apache OpenJPA
2591,jrbauer,NA,OpenJPA
1151,jrbauer,PMC,Apache BVal
174,jrbauer,PMC,Apache Bean Validation
185,jrbauer,Committer,Apache Bean Validation
375,je0375,Committer,Apache Geronimo
837,hughesj,Committer,Apache Woden
1866,hughesj,Committer,Apache Woden
68,je0068,PMC,Apache Aries
1047,je1047,PMC,Apache Aries
2073,je2073,NA,Aries
1893,je1893,NA,Accumulo
994,je0994,PMC,Apache ANT
245,jmcconnell,PMC Member,Apache Continuum
607,jmcconnell,Emeritus,Apache Maven
1010,je1010,Contributor,Apache Accumulo
1894,je1894,NA,Accumulo
2114,jcamacho,NA,Calcite
2449,jcamacho,NA,Hive
2329,jianhe,NA,Hadoop
1488,jianhe,Committer,Apache Hadoop
305,ji0305,Contributor,Apache Commons Jelly
1307,ji1307,Contributor,Apache Commons Jelly
428,jxiang,Committer,Apache Hbase
2390,jxiang,NA,HBase
2445,jxiang,NA,Hive
1405,jxiang,Committer,Apache HBase
2387,jerryjch,NA,HBase
2330,jing9,NA,Hadoop
1489,jing9,Committer,Apache Hadoop
453,jitendra,PMC,Apache Hadoop
496,jitendra,Committer,Apache Hadoop
852,jitendra,Committer,Apache Ambari
853,jitendra,PMC,Apache Ambari
954,jitendra,PMC,Apache Ambari
1986,jitendra,NA,Ambari
2331,jitendra,NA,Hadoop
2436,jitendra,NA,Hive
